speaker	start	end	rank	text
FIE038 	1163.31	1164.13	0.768339768339768 New gimmick 	
MIE085 	1167.56	1172.6	0.0308880308880309 Changeable colours Right you take a part for another face take it off button interface 	
FIE038 	1169.36	1169.8	0.77027027027027 Yeah 	
FIE073 	1169.5	1170.45	0.772200772200772 hmm 	
FIE073 	1172.12	1172.69	0.774131274131274 Right 	
MIE085 	1173.18	1175.53	0.776061776061776 And then they sold millions 	
FIE038 	1173.58	1174.27	0.777992277992278 That's a a 	
MIE085 	1176.22	1176.83	0.77992277992278 Millions 	
MIE085 	1177.9	1178.31	0.781853281853282 So 	
MIE085 	1179.31	1181.75	0.0328185328185328 And so with that do the findings were the researched easy to 	
MIE085 	1182.51	1183.2	0.783783783783784 whole you know 	
MIE085 	1183.93	1186.57	0.785714285714286 We have to come up with something totally new there's not on the market 	
FIE073 	1186.71	1188.3	0.787644787644788 But also have to work um 	
FIE073 	1188.3	1194.42	0.0637065637065637 consider that to who we were gonna get to make this custom cases in terms of manufacturing process system right	
FIE073 	1194.94	1195.86	0.78957528957529 Right um 	
FIE073 	1196.26	1197.79	0.791505791505791 Learn about um 	
FIE073 	1197.79	1198.89	0.793436293436293 labour wires 	
FIE073 	1199.98	1205.75	0.795366795366795 You know and Different countries and so forth so we can do it cheap but you don't wanna explore it to uh 	
FIE073 	1205.75	1207.39	0.797297297297297 labour and um 	
FIE073 	1207.39	1208.51	0.799227799227799 third world countries 	
FIE073 	1209.58	1216.67	0.801158301158301 Actually that right you turn around and say they your um for the reason the cost is high for the devices because	
FIE073 	1217.42	1221.02	0.803088803088803 you're paying uh a working wage to the person who made 	
FIE073 	1221.5	1222.2	0.805019305019305 The device 	
FIE038 	1222.77	1223.11	0.806949806949807 Uh-huh 	
MIO086 	1223.43	1226.04	0.808880308880309 Yeah but we can get the production and uh 	
MIO086 	1226.82	1228.21	0.810810810810811 Confuse like uh 	
FIE073 	1228.04	1229.3	0.812741312741313 Cost of living is low 	
MIO086 	1228.21	1232.84	0.814671814671815 in the uh yes yes and disliking d. or a chain or a mono ratio so 	
MIO086 	1233.56	1236.65	0.816602316602317 You can go a bit of features then but the price any kind some more 	
MIO086 	1237.65	1238.07	0.818532818532819 So 	
FIE073 	1241.95	1245.07	0.0656370656370656 That would that be something that manufacturing would have to um 	
MIO086 	1244.54	1244.77	0.82046332046332 Yeah 	
MIO086 	1245.36	1245.89	0.822393822393822 Yeah so 	
FIE073 	1245.59	1247.91	0.824324324324324 Explore more into where 	
MIE085 	1246.88	1249.54	0.826254826254826 Where are we are we in any fashion is is 	
FIE073 	1248.38	1249.09	0.828185328185328 Uh-huh 	
MIE085 	1250.77	1252.34	0.83011583011583 Than other stuff We're here to 	
MIO086 	1251.59	1252.09	0.832046332046332 Yeah so 	
MIO086 	1253.2	1259.65	0.0945945945945946 Yes uh but uh but that that they can't that we can talk about the production later okay depends on the the quantity okay 	
MIE085 	1254.19	1255.6	0.833976833976834 Come up with a nice product 	
FIE073 	1259.66	1259.9	0.835907335907336 Hmm 	
FIE073 	1259.9	1260.19	0.837837837837838 hmm 	
MIO086 	1260.12	1265.19	0.83976833976834 So we don't need to have uh well one uh fabric factor or something so we can have a have it will 	
MIO086 	1265.91	1268.71	0.841698841698842 There are do the fabric okay but the different uh 	
MIO086 	1268.71	1274.72	0.843629343629344 electronics items then we can have a business step and the the good the cost okay 	
MIO086 	1274.72	1275.4	0.845559845559846 to sell more 	
MIO086 	1276.65	1279.74	0.847490347490347 So that the led lights to decide foster board uh 	
MIO086 	1279.74	1282.97	0.0868725868725869 oh components concept and uh interface concept 	
MIO086 	1283.49	1284.6	0.849420849420849 Okay if it is 	
MIO086 	1285.16	1287.7	0.851351351351351 Picks up the phone for both of you what uh 	
MIO086 	1287.7	1288.62	0.853281853281853 it was talking 	
MIO086 	1290.61	1291.53	0.855212355212355 And you are design 	
MIO086 	1292.53	1293.18	0.857142857142857 With uh 	
MIO086 	1293.18	1296.88	0.0250965250965251 oh you wanna the display or bit of a display or just a simple so 	
FIE038 	1298.51	1306.21	0.0965250965250965 I think it depends i mean i think it's a good idea that we need to really think about how useful it's gonna be because theoretically with the t. v. you already have 	
FIE038 	1306.82	1309.09	0.150579150579151 A big display right in front of you know 	
FIE073 	1309.36	1309.84	0.859073359073359 Hmm 	
FIE038 	1310.2	1310.9	0.861003861003861 So 	
FIE038 	1311.52	1313.44	0.862934362934363 If we're trying to keep costs down 	
FIE038 	1314.13	1316.38	0.864864864864865 Then maybe sacrifice in the display 	
FIE073 	1316.84	1317.27	0.866795366795367 Uh-huh 	
FIE038 	1318.16	1325.17	0.00386100386100386 Is a way to go out and it depends on how much putting a display costs And what it would be used for very specifically would it would be used for 	
FIE073 	1324.96	1325.4	0.868725868725869 Hmm 	
FIE073 	1325.4	1325.73	0.870656370656371 hmm 	
FIE038 	1325.68	1328.61	0.11969111969112 "'cause" if it's only use for one little thing then putting in a big display 	
FIE038 	1329.37	1330.53	0.152509652509653 Or a big display that's 	
FIE038 	1331.74	1335.01	0.872586872586873 Probably expensive just to do the training on the chip 	
FIE038 	1336.03	1338.15	0.135135135135135 For the speech recognition or whatever 	
FIE038 	1338.7	1341.03	0.874517374517375 May not be the most cost efficient way to go but 	
FIE038 	1342.34	1344.15	0.876447876447876 That's a sort of speculation i mean 	
FIE073 	1345.24	1346.52	0.878378378378378 We think uh jean 	
FIE073 	1346.95	1350.08	0.154440154440154 You like the display in one of the concepts that you share 	
FIE073 	1351.18	1352.1	0.88030888030888 Um 	
FIE073 	1352.1	1354.15	0.882239382239382 you know how much it costs uh uh 	
FIE073 	1354.15	1357.57	0.156370656370656 mm to to add a little display like that's uh 	
MIE085 	1358.18	1359.43	0.884169884169884 No one knows 	
FIE073 	1359.02	1360.97	0.189189189189189 You want a connection i am to go find out 	
MIE085 	1362.15	1363.16	0.191119691119691 have to find that cost 	
FIE073 	1363.84	1364.31	0.886100386100386 Okay 	
FIE073 	1366.34	1367.23	0.888030888030888 Sorry about that 	
MIE085 	1366.61	1373.09	0.88996138996139 And last a problem i mean for them pushing it after it's made i. either market it i 	
MIE085 	1374.1	1375.64	0.891891891891892 Once we get a price on that we can 	
FIE073 	1379.23	1382.89	0.893822393822394 So but The advanced chip-on-print is what um 	
FIE073 	1382.89	1383.3	0.895752895752896 what we've 	
FIE073 	1384.7	1387.16	0.897683397683398 We've decided we determined in the uh 	
FIE073 	1387.57	1390.85	0.173745173745174 Engineering industrial design is the recommendation 	
FIE073 	1391.55	1392.84	0.8996138996139 And um 	
FIE073 	1392.84	1396.71	0.901544401544402 i think we've kinda come to some Agreement regarding um 	
FIE073 	1397.38	1399.12	0.903474903474903 This concept of a wooden case 	
FIE038 	1399.28	1399.6	0.905405405405405 Uh-huh 	
FIE073 	1401.17	1402.68	0.108108108108108 Uh customisable um 	
MIE085 	1402.82	1405.81	0.907335907335907 Nice beautiful mahogany redwoods cases 	
FIE038 	1404.21	1405.82	0.125482625482625 What about that Buttons would 	
FIE038 	1406.68	1408.41	0.127413127413127 With the buttons be would say over 	
FIE073 	1409.13	1409.62	0.909266409266409 Uh 	
FIE073 	1409.62	1410.5	0.911196911196911 i don't think so 	
MIO086 	1410.12	1410.91	0.913127413127413 I don't think so 	
FIE073 	1410.91	1412.76	0.915057915057915 No i think they could be rubber like they 	
MIO086 	1412.26	1412.8	0.916988416988417 Yes 	
FIE073 	1413.22	1416.08	0.918918918918919 so you have a tactile experience of 	
MIO086 	1413.27	1413.65	0.920849420849421 Yes 	
MIO086 	1414.13	1415.16	0.922779922779923 Don't that's nice 	
FIE038 	1415.16	1415.56	0.924710424710425 Yeah 	
MIO086 	1417.53	1418.02	0.926640926640927 Yeah so 	
MIO086 	1418.56	1420.05	0.928571428571429 Or what we'll do is uh 	
MIO086 	1420.05	1429.05	0.0347490347490347 we'll we'll stick with the the simple design for coming into the egg find out about know how much it's cost of extra think if we go for the display 	
MIO086 	1429.74	1430.55	0.930501930501931 Okay 	
MIO086 	1430.55	1434.85	0.932432432432432 so maybe what you can do is uh about a few you can come up with the 	
MIO086 	1435.4	1436.26	0.934362934362934 The product right 	
MIO086 	1437.18	1438.12	0.936293436293436 Okay the more than 	
FIE038 	1437.99	1438.37	0.938223938223938 Okay 	
MIO086 	1438.87	1439.28	0.94015444015444 Okay 	
FIE038 	1442.59	1442.89	0.942084942084942 Sure 	
FIE073 	1450.52	1451.78	0.944015444015444 So um 	
FIE073 	1452.36	1453.37	0.945945945945946 Are we done that's me 	
MIO086 	1454.98	1459.71	0.947876447876448 Uh i hope uh for is it okay if uh they will come up with a prototype design 	
MIO086 	1460.18	1463.89	0.94980694980695 Okay then they can show you how it looks like and then we can uh submitted a 	
MIO086 	1464.88	1466.37	0.951737451737452 I do some into the management 	
MIO086 	1466.84	1467.26	0.953667953667954 Okay 	
MIO086 	1468.44	1473.01	0.955598455598456 Then mean that and you can come up with the price so how much it's cost of extra for the the display 	
FIE073 	1473.29	1474.3	0.957528957528958 I'm marketing strategy 	
MIO086 	1473.75	1477.05	0.959459459459459 And and a might be sturdy that's very important okay 	
MIE085 	1474.97	1475.49	0.961389961389961 Okay 	
MIE085 	1475.49	1476.29	0.963320463320463 i think yeah 	
MIO086 	1480.04	1480.38	0.965250965250965 How much 	
MIE085 	1480.22	1480.64	0.967181467181467 Finer 	
MIO086 	1481.33	1483.22	0.969111969111969 Oh my how much how much you can select so uh 	
MIO086 	1484.28	1486.04	0.971042471042471 Of course you make minute or so 	
MIE085 	1485.8	1486.62	0.972972972972973 Yeah 	
MIE085 	1486.62	1486.78	0.974903474903475 yeah 	
MIO086 	1487.21	1489.87	0.976833976833977 It's modified you make money to uh your commission 	
MIO086 	1492.59	1494.1	0.978764478764479 Okay so any questions 	
MIO086 	1497.12	1500.89	0.980694980694981 So by next meeting so place come up with the 	
MIO086 	1502.35	1502.87	0.982625482625483 Okay 	
MIO086 	1502.87	1503.86	0.984555984555985 then uh 	
MIO086 	1504.12	1504.94	0.986486486486487 can proceed from there 	
MIO086 	1506.61	1506.88	0.988416988416988 Okay 	
MIO086 	1507.82	1509.74	0.99034749034749 So thanks for all your uh efforts 	
MIO086 	1510.16	1512.06	0.992277992277992 And coming for the meeting again 	
MIO086 	1512.81	1513.84	0.994208494208494 And the c.s on that 	
MIO086 	1514.82	1515.33	0.996138996138996 Okay 	
MIO086 	1515.33	1515.63	0.998069498069498 thank you	
